Setting,Seed,Modes,High-Quality Samples,Reverse KL
alpha-1.5_dlayers-0_glayers-4_dwidth-50_gwidth-400_dlr-0.0001_glr-0.0001_,14,5,0.172,0.5542063816331477
alpha-1.5_dlayers-0_glayers-4_dwidth-50_gwidth-400_dlr-0.0001_glr-0.0001_,13,4,0.113,0.5089035774537465
alpha-1.5_dlayers-0_glayers-4_dwidth-50_gwidth-400_dlr-0.0001_glr-0.0001_,15,4,0.1005,0.35812983988219516
alpha-1.5_dlayers-0_glayers-4_dwidth-50_gwidth-400_dlr-0.0001_glr-0.0001_,16,5,0.125,0.5209864953430108
alpha-1.5_dlayers-0_glayers-4_dwidth-50_gwidth-400_dlr-0.0001_glr-0.0001_,17,3,0.0835,0.6093448153960834
alpha-1.5_dlayers-0_glayers-4_dwidth-50_gwidth-400_dlr-0.0001_glr-0.0001_,18,2,0.1665,0.6373667745863936
alpha-1.5_dlayers-0_glayers-4_dwidth-50_gwidth-400_dlr-0.0001_glr-0.0001_,20,5,0.0925,0.6208303197942395
alpha-2.0_dlayers-0_glayers-4_dwidth-50_gwidth-400_dlr-0.0001_glr-0.0001_,5,7,0.274,0.5461188738697642
alpha-2.0_dlayers-0_glayers-4_dwidth-50_gwidth-400_dlr-0.0001_glr-0.0001_,10,5,0.108,0.7203811751469368
alpha-2.0_dlayers-0_glayers-4_dwidth-50_gwidth-400_dlr-0.0001_glr-0.0001_,4,5,0.164,0.4513609091879547
alpha-2.0_dlayers-0_glayers-4_dwidth-50_gwidth-400_dlr-0.0001_glr-0.0001_,3,8,0.2965,0.6538575978656442
alpha-2.0_dlayers-0_glayers-4_dwidth-50_gwidth-400_dlr-0.0001_glr-0.0001_,7,8,0.2355,0.5860427374455819
alpha-2.0_dlayers-0_glayers-4_dwidth-50_gwidth-400_dlr-0.0001_glr-0.0001_,6,2,0.079,0.8226295653051905
alpha-2.0_dlayers-0_glayers-4_dwidth-50_gwidth-400_dlr-0.0001_glr-0.0001_,9,6,0.252,0.7090004528894331
alpha-2.0_dlayers-0_glayers-4_dwidth-50_gwidth-400_dlr-0.0001_glr-0.0001_,11,5,0.101,0.4563711003133531
alpha-2.0_dlayers-0_glayers-4_dwidth-50_gwidth-400_dlr-0.0001_glr-0.0001_,8,2,0.049,0.4968130037561773
alpha-1.5_dlayers-0_glayers-4_dwidth-50_gwidth-400_dlr-0.0001_glr-0.0001_,19,7,0.2875,0.8707225563933677
alpha-2.0_dlayers-0_glayers-4_dwidth-50_gwidth-400_dlr-0.0001_glr-0.0001_,14,5,0.1725,0.3997880290070349
alpha-2.0_dlayers-0_glayers-4_dwidth-50_gwidth-400_dlr-0.0001_glr-0.0001_,15,4,0.121,0.6264895530125056
alpha-2.0_dlayers-0_glayers-4_dwidth-50_gwidth-400_dlr-0.0001_glr-0.0001_,13,2,0.3005,0.9591744619734275
