Setting,Seed,Modes,Major-Modes,Minor-Modes,HQS,Real-KL,Real-RKL,Real-JSD,Real-TVD,Uniform-KL,Uniform-RKL,Uniform-JSD,Uniform-TVD
-major_weight-10-dataset-lattice-d_layers-3-g_layers-2-d_alpha-0.5-g_alpha-0.5,1,25,16,9,0.82844,0.04188593738750052,0.0373766007599188,0.009699266867987085,0.1133512641204949,0.6185030535544971,0.3343510923864891,0.09780603773662358,0.32187812187812187
-major_weight-10-dataset-lattice-d_layers-3-g_layers-2-d_alpha-0.5-g_alpha-1,1,23,16,7,0.7994,0.11073640599798706,0.08789357558810759,0.02382114099537183,0.1694397909782525,0.7603143516131518,0.41145935959730645,0.11880585701790695,0.37382617382617384
-major_weight-10-dataset-lattice-d_layers-3-g_layers-2-d_alpha-0.5-g_alpha-1.2,1,24,16,8,0.81412,0.2601965898528437,0.1431084406873754,0.0429100356644946,0.17220932913240605,0.8270748416174786,0.43713856775946786,0.12591942706256862,0.4125874125874126
-major_weight-10-dataset-lattice-d_layers-3-g_layers-2-d_alpha-0.5-g_alpha-0.8,1,23,16,7,0.77172,0.21150913066965632,0.1459003674598702,0.040677949303302374,0.20268961807423344,0.7965365470098305,0.4171116692347589,0.11695027928367323,0.4067132867132867
-major_weight-10-dataset-lattice-d_layers-3-g_layers-2-d_alpha-0.5-g_alpha-1.5,1,22,16,6,0.82664,0.46188615600331845,0.25546141760083685,0.07403264256198905,0.25999538922615845,0.9602370674737027,0.5659615838995401,0.1570219010308896,0.4681718281718281
-major_weight-10-dataset-lattice-d_layers-3-g_layers-2-d_alpha-0.8-g_alpha-1,1,23,16,7,0.77688,0.1204607762782129,0.08316738305838291,0.022696982224471446,0.15796818566049337,0.8553050101152706,0.39375956074941354,0.11398623031051176,0.3593606393606394
-major_weight-10-dataset-lattice-d_layers-3-g_layers-2-d_alpha-0.5-g_alpha-2,1,23,16,7,0.84844,0.15319787946889915,0.10735449431581442,0.029990899932870883,0.18413893798509184,0.9389135747678143,0.44969060235980984,0.1313448759757077,0.3926473526473527
-major_weight-10-dataset-lattice-d_layers-3-g_layers-2-d_alpha-0.8-g_alpha-1.5,1,24,16,8,0.83728,0.09151158699329189,0.06472067143775309,0.01747715661294709,0.1450918312456774,0.7967922671366952,0.3719084276126686,0.10816799481886333,0.350969030969031
-major_weight-10-dataset-lattice-d_layers-3-g_layers-2-d_alpha-0.8-g_alpha-0.5,1,21,16,5,0.73844,0.06855137416379184,0.04092299168275277,0.011463250254860044,0.10321985706601093,0.8380290651813495,0.34627052001111963,0.1035256021934148,0.33206793206793206
-major_weight-10-dataset-lattice-d_layers-3-g_layers-2-d_alpha-0.8-g_alpha-0.8,1,23,16,7,0.73528,0.04377069713151059,0.03588455083429783,0.00949666609833159,0.1098101898101898,0.6807617487112094,0.34767287662558516,0.1026723043523011,0.3308691308691309
