Setting,Seed,0.0-1,0.0-3,0.0-5,0.0-10,0.1-1,0.1-3,0.1-5,0.1-10,0.2-1,0.2-3,0.2-5,0.2-10,0.3-1,0.3-3,0.3-5,0.3-10,0.4-1,0.4-3,0.4-5,0.4-10,0.5-1,0.5-3,0.5-5,0.5-10,0.6-1,0.6-3,0.6-5,0.6-10,0.7-1,0.7-3,0.7-5,0.7-10,0.8-1,0.8-3,0.8-5,0.8-10,0.9-1,0.9-3,0.9-5,0.9-10
-non_saturating-n_epochs-50-d_alpha-0.85,67,637,467,394,314,603,442,371,301,511,378,317,239,440,292,242,176,346,227,179,130,277,169,126,85,206,123,91,50,152,78,47,26,89,31,17,6,29,6,3,0
-non_saturating-n_epochs-50-d_alpha-1,65,32,25,21,13,27,16,11,10,12,9,9,7,8,5,5,5,5,4,4,4,4,4,4,3,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
-non_saturating-n_epochs-50-d_alpha-0.9,67,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
-non_saturating-n_epochs-50-d_alpha-0.95,66,656,486,401,289,621,455,375,272,545,364,291,207,464,281,225,156,351,212,159,103,274,160,109,69,208,105,73,50,146,69,50,35,92,42,30,16,40,12,8,4
-non_saturating-n_epochs-50-d_alpha-0.9,66,730,542,454,331,707,513,425,314,606,429,355,249,507,336,276,179,415,260,200,135,331,185,137,85,252,133,95,52,180,82,53,28,112,42,25,16,47,13,7,2
-non_saturating-n_epochs-50-d_alpha-0.95,67,4,4,4,4,4,4,4,4,4,4,4,3,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
-non_saturating-n_epochs-50-d_alpha-0.85,68,853,650,545,401,827,622,515,381,740,523,428,313,639,417,332,236,521,336,263,152,415,253,178,101,333,169,114,63,246,102,69,39,165,59,37,12,71,17,8,4
-non_saturating-n_epochs-50-d_alpha-0.9,68,734,538,443,329,700,494,411,301,586,399,325,228,475,296,235,160,373,206,163,107,275,153,113,62,203,106,74,46,142,65,47,22,82,33,19,6,30,6,5,3
-non_saturating-n_epochs-50-d_alpha-1,67,711,523,433,331,680,503,420,315,606,419,340,237,506,318,251,167,392,233,186,116,292,165,129,71,222,118,74,45,161,68,46,24,90,30,18,4,31,2,1,0
-non_saturating-n_epochs-50-d_alpha-0.95,68,4,4,4,4,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-non_saturating-n_epochs-50-d_alpha-1,68,643,474,375,268,616,441,355,261,538,359,288,207,437,275,220,164,356,215,169,116,278,163,126,76,215,108,84,49,149,72,50,28,88,35,22,12,33,9,7,1
-non_saturating-n_epochs-50-d_alpha-0.85,69,631,462,382,293,602,439,361,272,524,351,288,225,430,270,225,156,326,206,157,110,241,143,109,74,181,101,75,45,134,62,51,25,80,39,23,10,25,6,4,3
-non_saturating-n_epochs-50-d_alpha-0.85,70,721,562,457,359,694,541,440,345,630,467,387,274,549,384,305,207,463,290,221,151,375,221,166,100,286,152,110,69,215,98,71,38,136,51,34,16,48,15,8,3
-non_saturating-n_epochs-50-d_alpha-0.9,69,6,5,4,4,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-non_saturating-n_epochs-50-d_alpha-1,70,776,562,445,329,753,543,433,317,673,461,377,266,579,375,299,218,494,294,237,157,402,228,170,118,306,176,132,81,236,127,90,53,157,79,49,24,90,32,18,6
-non_saturating-n_epochs-50-d_alpha-0.95,70,632,432,346,253,618,417,333,248,536,343,273,210,443,273,222,155,355,216,172,118,291,163,124,83,219,113,87,62,163,77,59,45,91,56,40,30,48,26,20,9
-non_saturating-n_epochs-50-d_alpha-1,69,817,600,504,349,767,551,450,326,642,428,340,232,507,317,247,159,380,224,158,97,298,146,98,61,212,81,62,36,138,53,34,13,75,20,11,6,27,5,3,1
-non_saturating-n_epochs-50-d_alpha-0.95,69,743,555,466,362,716,527,438,334,616,419,360,244,517,339,265,171,402,245,178,108,300,165,113,70,206,102,71,37,137,61,40,18,75,27,17,7,27,8,5,3
-non_saturating-n_epochs-50-d_alpha-0.9,71,747,551,452,333,705,507,415,310,598,408,332,245,480,306,250,170,378,233,182,122,302,175,123,80,221,118,84,42,165,71,44,23,94,33,20,7,30,6,4,2
-non_saturating-n_epochs-50-d_alpha-0.9,70,2,2,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-non_saturating-n_epochs-50-d_alpha-1,71,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-non_saturating-n_epochs-50-d_alpha-0.95,71,726,535,440,326,680,496,414,307,570,397,328,240,462,325,248,173,385,225,177,110,290,156,110,78,208,95,76,47,142,57,43,25,81,30,17,7,30,4,1,0
-non_saturating-n_epochs-50-d_alpha-0.85,71,817,614,520,368,789,580,490,333,696,490,398,262,596,389,295,206,495,284,219,144,404,217,159,98,321,150,109,63,231,101,65,35,138,52,33,11,58,13,4,2
-non_saturating-n_epochs-50-d_alpha-0.95,72,11,9,9,8,6,5,5,4,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-non_saturating-n_epochs-50-d_alpha-1,72,712,517,433,324,679,484,408,307,587,416,351,255,499,337,263,196,405,255,203,136,321,203,150,86,263,136,96,57,190,82,57,30,119,44,32,13,48,10,4,1
-non_saturating-n_epochs-50-d_alpha-0.9,72,634,459,372,281,586,427,341,261,491,325,266,202,391,250,200,149,303,188,150,99,229,136,97,62,172,89,62,37,118,45,35,21,65,24,12,7,14,6,2,1
-non_saturating-n_epochs-50-d_alpha-0.85,72,722,534,460,334,686,510,423,306,599,405,329,245,490,326,260,182,407,239,181,128,318,177,131,92,250,126,97,62,168,84,59,34,112,44,28,14,43,19,7,4
-non_saturating-n_epochs-50-d_alpha-0.95,73,732,520,420,312,692,476,395,289,571,379,309,216,461,270,217,139,342,201,145,90,268,132,97,53,191,89,58,40,129,55,36,26,71,27,20,13,22,6,3,2
