Setting,Seed,Modes,Major-Modes,Minor-Modes,HQS,Real-KL,Real-RKL,Real-JSD,Real-TVD,Uniform-KL,Uniform-RKL,Uniform-JSD,Uniform-TVD
-major_weight-10-dataset-lattice-non_saturating-d_layers-2-g_layers-3-d_alpha-0.5-g_alpha-0.8,1,21,14,7,0.76304,1.114567403905487,0.4423469879789851,0.11826817659636099,0.29661108122646584,1.3686801782071383,0.7481545732689892,0.19230516036500073,0.4792407592407592
-major_weight-10-dataset-lattice-non_saturating-d_layers-2-g_layers-3-d_alpha-0.5-g_alpha-1,1,25,16,9,0.87488,0.005612617722339049,0.005329931223786781,0.0013640886163768504,0.03691078152616614,0.4743134462664127,0.2837181216002153,0.0832683887677427,0.31084915084915077
-major_weight-10-dataset-lattice-non_saturating-d_layers-2-g_layers-3-d_alpha-0.5-g_alpha-1.2,1,25,16,9,0.93976,0.0038569054121394635,0.0037925435873590253,0.0009550272887051597,0.03498347806040114,0.4601222132424853,0.27822424409370794,0.08154772286885215,0.3091308691308691
-major_weight-10-dataset-lattice-non_saturating-d_layers-2-g_layers-3-d_alpha-0.5-g_alpha-1.5,1,25,16,9,0.92588,0.006594962851140363,0.006028330856596118,0.001560241964272708,0.03882271574579266,0.5139791090314176,0.29444576299671504,0.0871218985341668,0.3152047952047952
-major_weight-10-dataset-lattice-non_saturating-d_layers-2-g_layers-3-d_alpha-0.5-g_alpha-2,1,25,16,9,0.80316,0.0034242103316690824,0.0033964044073762105,0.0008509678649964213,0.02952739568124184,0.44148767305633274,0.27055920491985774,0.07908511106559515,0.30597402597402595
-major_weight-10-dataset-lattice-non_saturating-d_layers-2-g_layers-3-d_alpha-0.8-g_alpha-0.8,1,25,16,9,0.89932,0.005211331808739346,0.005090398190486446,0.0012849899986952544,0.037823714746791665,0.4592807598532148,0.2774978480656317,0.08127114440950214,0.3082517482517482
-major_weight-10-dataset-lattice-non_saturating-d_layers-2-g_layers-3-d_alpha-0.8-g_alpha-0.5,1,23,16,7,0.90464,0.03498407546691363,0.030263336598495793,0.00801192966414394,0.09321755167909014,0.5467112562184544,0.31306807380664126,0.09123107031638264,0.3247152847152847
-major_weight-10-dataset-lattice-non_saturating-d_layers-2-g_layers-3-d_alpha-0.8-g_alpha-1,1,25,16,9,0.9504,0.0034334137612658275,0.003374334117396409,0.0008490055491155437,0.02827633904556981,0.4705694563580739,0.2797382738626215,0.08231755660286977,0.30997002997003
-major_weight-10-dataset-lattice-non_saturating-d_layers-2-g_layers-3-d_alpha-0.8-g_alpha-1.2,1,22,15,7,0.90224,0.580699179830797,0.1502301617752863,0.047739280124824444,0.14755398447706142,1.061051940330667,0.4595341799737329,0.13536435780049139,0.40279720279720277
-major_weight-10-dataset-lattice-non_saturating-d_layers-2-g_layers-3-d_alpha-1-g_alpha-0.5,1,25,16,9,0.88096,0.03569131020531031,0.029298409201030155,0.007885328851998597,0.08455851840467227,0.6459957876075125,0.33593409702198107,0.09981077596409821,0.33438561438561437
-major_weight-10-dataset-lattice-non_saturating-d_layers-2-g_layers-3-d_alpha-0.8-g_alpha-1.5,1,25,16,9,0.95592,0.0022837274978020627,0.002297652614317575,0.0005720750686072619,0.023834626911549986,0.42180241283449776,0.2635717240178434,0.07679423575696227,0.3034165834165834
-major_weight-10-dataset-lattice-non_saturating-d_layers-2-g_layers-3-d_alpha-0.8-g_alpha-2,1,25,16,9,0.87232,0.0050042467914513805,0.0048484306564319105,0.0012292828884859447,0.040464151233382,0.4886223308506503,0.28857328178785174,0.08495952844004279,0.31316683316683314
-major_weight-10-dataset-lattice-non_saturating-d_layers-2-g_layers-3-d_alpha-1-g_alpha-0.8,1,23,16,7,0.89808,0.011133255242745088,0.008401458056405877,0.0023436780540205364,0.03308383923768539,0.597326736057845,0.3141170319540825,0.09425231229676563,0.3227172827172827
-major_weight-10-dataset-lattice-non_saturating-d_layers-2-g_layers-3-d_alpha-1-g_alpha-1,1,25,16,9,0.91064,0.011812883968995415,0.01193053928410786,0.002954517759415499,0.05724122031814338,0.49315566268382915,0.29234298029174005,0.08556525334527157,0.3117282717282717
-major_weight-10-dataset-lattice-non_saturating-d_layers-2-g_layers-3-d_alpha-1-g_alpha-1.5,1,25,16,9,0.8972,0.006289892020872343,0.006237040501025514,0.0015615671146665137,0.040464151233382005,0.43032986049803257,0.2655788726656752,0.07735667667867065,0.3025774225774226
