setting,seed,train_test_split,noise_dim,batch_size,save_images,n_epochs,epoch_step,lr,model_width,beta1,amp,d_alpha,g_alpha,non_saturating,ls_gan,errors,epochs,fid_scores,time
non_saturating-n_epochs-100-epoch_step-10-lr-0.001-d_alpha-0.8-g_alpha-1,5,0.8,100,128,False,100,10,0.001,64,0.9,False,0.8,1.0,True,False,"[0.13683366238894373, 0.15078973346495558, 0.17253208292201383, 0.14195459032576505, 0.19054787759131292, 0.23124383020730505, 0.28392152023692, 0.3234575518262586, 0.35299851924975323, 0.3638450148075025]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[1385.2633694679375, 384.91117347349154, 182.61861227010718, 101.39795409289411, 71.33998569118057, 84.24222937166701, 69.458982433463, 92.51337140566079, 55.978183831972046, 55.85608044720561]",3067
non_saturating-n_epochs-100-epoch_step-10-lr-0.0005-d_alpha-0.8-g_alpha-1,6,0.8,100,128,False,100,10,0.0005,64,0.9,False,0.8,1.0,True,False,"[0.13805528134254688, 0.0822680157946693, 0.1490375123395854, 0.32185340572556764, 0.2285908193484699, 0.31322803553800593, 0.23937561697926948, 0.25665103652517274, 0.49793928923988157, 0.29473099703849953]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[1421.0833070731364, 388.69882513485686, 143.88390588660536, 95.23652246608526, 83.73389844602843, 61.37537559074576, 58.21591230565787, 49.932206300696635, 55.49603750875872, 56.46579372455699]",3049
non_saturating-n_epochs-100-epoch_step-10-lr-0.001-d_alpha-0.9-g_alpha-1,2,0.8,100,128,False,100,10,0.001,64,0.9,False,0.9,1.0,True,False,"[0.048729022704837116, 0.0995187561697927, 0.3524308983218164, 0.15584896347482724, 0.268743830207305, 0.30009871668311944, 0.4993583415597236, 0.28800592300098715, 0.350715695952616, 0.339104146100691]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[1210.623896495342, 373.63566240814873, 170.21337557517518, 94.88816221844559, 96.44456276508959, 52.39024619613451, 71.24055895505649, 58.686113169419286, 72.94637333868491, 59.83109484288707]",3052
non_saturating-n_epochs-100-epoch_step-10-lr-0.005-d_alpha-1-g_alpha-1,1,0.8,100,128,False,100,10,0.005,64,0.9,False,1.0,1.0,True,False,"[0.07657946692991116, 0.08516781836130306, 0.13028134254689042, 0.1649308983218164, 0.24658193484698915, 0.22640671273445212, 0.23204590325765054, 0.46947186574531097, 0.30208538993089834, 0.24132527147087857]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[1356.2976506834232, 343.95154004818096, 152.1831794845573, 118.9639453907298, 78.6595551180501, 70.79110004048903, 75.6485545794684, 65.10546589766068, 60.23600294439257, 74.46199947505056]",3088
non_saturating-n_epochs-100-epoch_step-10-lr-0.0001-d_alpha-1-g_alpha-1,5,0.8,100,128,False,100,10,0.0001,64,0.9,False,1.0,1.0,True,False,"[0.10963721618953604, 0.17722112537018755, 0.17279121421520238, 0.12165597235932872, 0.20377591312931886, 0.28757403751233956, 0.16129072063178676, 0.17588845014807503, 0.32402517275419546, 0.20940276406712735]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[576.6746669877496, 151.1212220490546, 102.24720599255022, 81.52176845936219, 72.48197155011644, 61.5533951380296, 71.17051513094611, 67.66844252913609, 56.87933570234509, 56.544876496733195]",3094
non_saturating-n_epochs-100-epoch_step-10-lr-0.01-d_alpha-1-g_alpha-1,2,0.8,100,128,False,100,10,0.01,64,0.9,False,1.0,1.0,True,False,"[0.23526653504442252, 0.1491979269496545, 0.4936327739387957, 0.49385488647581444, 0.4934476801579467, 0.4934846989141165, 0.9919299111549852, 0.9902147087857848, 0.9909427443237907, 0.9886599210266535]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[1372.9066632193162, 1761.2789985129932, 2401.692012118842, 2351.9858902489855, 2487.6196000474997, 2590.5723294695817, 2556.0367419597283, 2570.3126484313075, 2549.196491097857, 2457.012452488103]",3097
non_saturating-n_epochs-100-epoch_step-10-lr-0.001-d_alpha-0.9-g_alpha-1,3,0.8,100,128,False,100,10,0.001,64,0.9,False,0.9,1.0,True,False,"[0.016584402764067127, 0.06370927936821323, 0.17476554787759133, 0.2537635735439289, 0.4103405725567621, 0.44155972359328727, 0.33245310957551827, 0.192324777887463, 0.4529491609081935, 0.40940276406712733]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[1064.3426682104528, 298.11969957218764, 151.22971337940476, 98.394075627446, 81.0819795159448, 68.47036534935773, 77.62979833425743, 64.10865310252575, 56.63484417850168, 68.59404305123405]",3066
non_saturating-n_epochs-100-epoch_step-10-lr-0.0001-d_alpha-0.8-g_alpha-1,3,0.8,100,128,False,100,10,0.0001,64,0.9,False,0.8,1.0,True,False,"[0.15483711747285292, 0.17155725567620927, 0.12186574531095755, 0.22899802566633762, 0.1799851924975321, 0.19221372161895361, 0.17302566633761104, 0.1847852912142152, 0.2013943731490622, 0.13746298124383022]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[961.6043359960711, 127.63879725110155, 97.63218986286483, 78.29939489115407, 64.50450052541237, 63.53620187639899, 61.43995775659107, 57.22995941296733, 67.68125865220986, 63.59378934915617]",3105
non_saturating-n_epochs-100-epoch_step-10-lr-0.0001-d_alpha-1-g_alpha-1,1,0.8,100,128,False,100,10,0.0001,64,0.9,False,1.0,1.0,True,False,"[0.06079713721618953, 0.12059476801579468, 0.10488647581441264, 0.3450765054294176, 0.16688055281342548, 0.24606367226061204, 0.23205824284304047, 0.22968904244817373, 0.15037018756169793, 0.31038993089832184]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[388.9556699254258, 186.68658196191654, 93.63667705754824, 60.70587642953706, 65.1158341471629, 62.984478962128605, 65.91941160393912, 74.19046435915448, 57.265238925108065, 66.72813354477285]",3099
non_saturating-n_epochs-100-epoch_step-10-lr-0.01-d_alpha-1-g_alpha-1,5,0.8,100,128,False,100,10,0.01,64,0.9,False,1.0,1.0,True,False,"[0.17566633761105627, 0.17665350444225075, 0.36411648568608096, 0.2933613030602172, 0.4973099703849951, 0.4975567620927937, 0.21092053307008884, 0.17761599210266535, 0.16195705824284304, 0.15191263573543928]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[2023.5324399349015, 1833.525209298524, 1127.6757460596236, 1497.6761641785233, 1581.551563063317, 1800.7728254434332, 1895.0106580020563, 1947.433121106559, 2041.803417057622, 1943.878975071025]",3104
