Setting,Seed,FID Score,0.0-1,0.0-3,0.0-5,0.0-10,0.1-1,0.1-3,0.1-5,0.1-10,0.2-1,0.2-3,0.2-5,0.2-10,0.3-1,0.3-3,0.3-5,0.3-10,0.4-1,0.4-3,0.4-5,0.4-10,0.5-1,0.5-3,0.5-5,0.5-10,0.6-1,0.6-3,0.6-5,0.6-10,0.7-1,0.7-3,0.7-5,0.7-10,0.8-1,0.8-3,0.8-5,0.8-10,0.9-1,0.9-3,0.9-5,0.9-10,Epochs,FIDs
-non_saturating-n_epochs-200-epoch_step-10-g_lr-0.0001-g_alpha-1.1-d_alpha-1.1-beta1-0.5-g_width-64-d_width-64,1,173.54135589982707,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150, 160, 170, 180, 190, 200]","[739.6441647937611, 394.4255463722202, 295.6838229163036, 186.5100113193762, 192.08392040717558, 184.50080683128112, 177.75652798516035, 176.20600318246352, 172.72331637755224, 173.7132940446545, 168.9019536596436, 173.52184546081867, 172.151266640426, 171.82258685142574, 174.43065724767712, 175.38331058412996, 166.781251825729, 166.56005255804575, 171.18019758194237, 173.54135589982707]"
-non_saturating-n_epochs-200-epoch_step-10-g_lr-0.0005-g_alpha-0.8-d_alpha-0.9-beta1-0.5-g_width-64-d_width-64,2,141.61635420290372,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150, 160, 170, 180, 190, 200]","[493.4634395547014, 345.21661035758075, 237.41388587280335, 254.8559356699111, 175.5471665666946, 155.59263687837074, 151.29123173900052, 132.6946744890147, 136.6348443529423, 132.42537388906067, 169.86691916068548, 135.1986848835204, 133.05512453287724, 137.26212803353815, 147.25627207908656, 144.72317864400134, 144.52021389296897, 146.65429188994494, 146.20045048106704, 141.61635420290372]"
-non_saturating-n_epochs-200-epoch_step-10-g_lr-0.0001-g_alpha-1.1-d_alpha-1.5-beta1-0.5-g_width-64-d_width-64,1,174.20564811768577,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150, 160, 170, 180, 190, 200]","[490.368657653082, 442.23084065537773, 307.57654128551917, 259.7653182291565, 192.08694610454472, 180.60999078304894, 169.25722475721864, 179.1392573584901, 154.0853641006106, 161.94242225378002, 166.02706834340415, 168.63378636081757, 172.29755087048966, 164.53905236437254, 161.22667777229003, 157.08287047526665, 167.47159227743168, 167.62615035378712, 163.64347805196053, 174.20564811768577]"
-non_saturating-n_epochs-200-epoch_step-10-g_lr-0.0005-g_alpha-0.8-d_alpha-1-beta1-0.5-g_width-64-d_width-64,2,157.73951732263504,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150, 160, 170, 180, 190, 200]","[648.8986512696993, 290.2749887902935, 236.70473146686686, 233.0734009383459, 175.4910726230362, 148.84653458787898, 173.98200911988806, 149.99502146957343, 159.5012680078887, 151.62428583571386, 148.8593108263649, 155.14797159506952, 155.9349729051596, 154.56595602633593, 147.33218627062342, 153.0058905355536, 153.12641401987412, 159.2746200383849, 163.851838622714, 157.73951732263504]"
-non_saturating-n_epochs-200-epoch_step-10-g_lr-0.0001-g_alpha-1.5-d_alpha-1-beta1-0.5-g_width-64-d_width-64,1,166.46480327943027,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150, 160, 170, 180, 190, 200]","[677.430475246947, 529.3708504783399, 304.0274199908695, 236.56848407326333, 161.04607159235843, 165.26257744009717, 168.6230397114232, 161.95248366687974, 157.19206240442327, 158.01656978216624, 160.24510638739002, 169.6445835064319, 156.7400612782576, 152.36299762845715, 159.4356129337175, 155.694320372334, 159.99295217499048, 163.65472992219338, 161.8511682383887, 166.46480327943027]"
-non_saturating-n_epochs-200-epoch_step-10-g_lr-0.0001-g_alpha-1.5-d_alpha-0.8-beta1-0.5-g_width-64-d_width-64,1,164.64220984713165,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150, 160, 170, 180, 190, 200]","[553.7880318413763, 397.7272578470704, 287.69511269595205, 197.58420606201526, 193.79344405861116, 154.74946994100128, 158.18592518756532, 170.89243512211306, 155.74808142187453, 168.73230153591453, 157.44611862824922, 168.46260146144232, 164.893317372178, 158.45352450813584, 160.19989638482707, 163.44930173706462, 162.7040466101571, 157.53903596896407, 165.24601720016744, 164.64220984713165]"
-non_saturating-n_epochs-200-epoch_step-10-g_lr-0.0001-g_alpha-1.5-d_alpha-1.1-beta1-0.5-g_width-64-d_width-64,1,173.12801480940448,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150, 160, 170, 180, 190, 200]","[732.2702349493163, 444.7968444863136, 330.3153096874323, 221.17518603699182, 199.78009007532887, 184.2811502917475, 183.03927804509, 181.77163569368554, 163.56111359963734, 169.96764925309435, 159.78164089659776, 173.07860668998046, 168.30466941755822, 167.1238738814036, 166.1788657459233, 166.69565184756175, 170.61617758970488, 169.48141334940328, 169.40089898530937, 173.12801480940448]"
-non_saturating-n_epochs-200-epoch_step-10-g_lr-0.0001-g_alpha-1.5-d_alpha-0.9-beta1-0.5-g_width-64-d_width-64,1,167.08685008963926,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150, 160, 170, 180, 190, 200]","[680.161739019909, 431.47714469006314, 272.9673417371173, 191.34313115918803, 167.37305381671285, 178.83535133099963, 191.72555015212174, 177.75942435535944, 162.94602437472463, 171.18276531626634, 159.91805833821127, 165.48599421396193, 158.4832816461526, 164.40834933224596, 163.9933635967086, 161.2739778914388, 162.49749393273032, 167.25972343799822, 164.62414455448925, 167.08685008963926]"
-non_saturating-n_epochs-200-epoch_step-10-g_lr-0.0001-g_alpha-1.5-d_alpha-1.5-beta1-0.5-g_width-64-d_width-64,1,169.45495027920583,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150, 160, 170, 180, 190, 200]","[600.6240143690734, 359.61463326759167, 313.4217012711124, 215.89750513589297, 191.3291428686971, 167.118106637972, 171.94711431248197, 174.91246321221047, 165.5520468282666, 163.125844268867, 165.64935784196769, 167.3122997519995, 168.34211118586063, 172.06203702753055, 164.24806255491058, 161.75042282539198, 167.31008060481417, 158.62995806073263, 169.3680006983027, 169.45495027920583]"
-non_saturating-n_epochs-200-epoch_step-10-g_lr-0.0002-g_alpha-0.8-d_alpha-0.9-beta1-0.5-g_width-64-d_width-64,1,159.69440260190686,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150, 160, 170, 180, 190, 200]","[561.0750078087462, 332.76233754690656, 213.4627849966762, 208.26835226075013, 140.8592622024371, 147.7152515697071, 157.79394308675046, 164.59205586886264, 157.05823297932807, 157.1634543482221, 150.69993168305064, 158.70747438760964, 157.76523641995686, 147.14153125317512, 155.59887676719245, 156.82037405515644, 161.43343628652974, 160.7602482631687, 162.17550685624792, 159.69440260190686]"
