setting,seed,train_test_split,noise_dim,batch_size,save_images,n_epochs,epoch_step,lr,model_width,beta1,amp,d_alpha,g_alpha,non_saturating,ls_gan,errors,epochs,fid_scores,time
non_saturating-n_epochs-150-epoch_step-10-lr-0.0006-d_alpha-0.8-g_alpha-1,2,0.8,100,128,False,150,10,0.0006,64,0.9,False,0.8,1.0,True,False,"[0.1319965449160908, 0.05029615004935834, 0.1977171767028628, 0.15577492596248765, 0.20747778874629813, 0.321076011846002, 0.34998766041461005, 0.29806268509378087, 0.35805774925962486, 0.28604392892398817, 0.3186944718657453, 0.2448790720631787, 0.2199284304047384, 0.19091806515301085, 0.21205577492596248]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150]","[889.4049299031551, 268.70778123248397, 127.70281794668608, 77.99733906986773, 65.57659360731736, 51.914050369143524, 58.63667081083622, 63.75958368608542, 50.17931050365496, 68.34436292719988, 61.94185765677639, 65.7252218289293, 73.43256923198783, 78.38451267137873, 66.78301463010234]",4584
non_saturating-n_epochs-150-epoch_step-10-lr-0.0001-d_alpha-0.9-g_alpha-1,1,0.8,100,128,False,150,10,0.0001,64,0.9,False,0.9,1.0,True,False,"[0.03677196446199408, 0.07622161895360316, 0.14290473840078974, 0.22636969397828233, 0.14904985192497533, 0.30737907206317866, 0.2805528134254689, 0.21095755182625864, 0.2014807502467917, 0.14407699901283316, 0.14081934846989141, 0.31754689042448175, 0.2195212240868707, 0.3222852912142152, 0.3990745310957552]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150]","[620.6457855948322, 170.1247091132035, 112.86419050666416, 65.99020141967844, 58.736118269268445, 56.8803577427484, 65.98695701084489, 61.27978805339876, 52.06484083559212, 50.21205355432426, 55.27858087046275, 48.46189277685812, 48.68926673920737, 46.510103671944535, 44.7695582784238]",4688
non_saturating-n_epochs-150-epoch_step-10-lr-0.0009-d_alpha-0.5-g_alpha-1,1,0.8,100,128,False,150,10,0.0009,64,0.9,False,0.5,1.0,True,False,"[0.1339461994076999, 0.3769002961500494, 0.19835883514313918, 0.10779861796643633, 0.446791707798618, 0.04858094768015795, 0.07123642645607108, 0.4464461994076999, 0.07333415597235933, 0.022692497532082922, 0.0665720631786772, 0.6621174728529121, 0.0616609081934847, 0.023951135241855874, 0.015868706811451135]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150]","[1684.723736872034, 1555.5666091221944, 1578.525308661328, 906.9416746801389, 1185.3306211338836, 1980.9593626881033, 781.0258504531239, 654.0568535387554, 391.8751873156971, 582.3392360486479, 662.7515664996877, 712.5661911933822, 699.3448514804178, 481.48261309280997, 455.1828205684956]",4640
non_saturating-n_epochs-150-epoch_step-10-lr-0.0002-d_alpha-0.8-g_alpha-1,1,0.8,100,128,False,150,10,0.0002,64,0.9,False,0.8,1.0,True,False,"[0.09368213228035538, 0.11058736426456071, 0.27369200394866733, 0.25133267522211256, 0.23479763079960514, 0.24123889437314905, 0.21440029615004935, 0.2408563672260612, 0.13996791707798617, 0.3743213228035538, 0.15964955577492596, 0.3135612043435341, 0.20318361303060217, 0.3193361303060217, 0.2575518262586377]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150]","[392.72686639590256, 168.7148381156892, 93.967354181583, 85.26667541317602, 74.71799856463167, 58.4796048262956, 69.62471454169304, 69.09263768317953, 63.07590524540478, 56.80443598672355, 69.58152053872732, 64.85646379845161, 67.37349211821686, 69.05784419269685, 67.96279092674195]",4686
non_saturating-n_epochs-150-epoch_step-10-lr-0.0002-d_alpha-0.7-g_alpha-1,1,0.8,100,128,False,150,10,0.0002,64,0.9,False,0.7,1.0,True,False,"[0.04236179664363277, 0.1313919052319842, 0.19658193484698913, 0.20856367226061204, 0.17057008884501482, 0.402677690029615, 0.39687808489634746, 0.33668558736426457, 0.2119817374136229, 0.33229269496544916, 0.2559600197433366, 0.23967176702862783, 0.3392645607107601, 0.240535538005923, 0.3731367226061204]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150]","[530.5165916895844, 191.16427677101683, 114.86273842926096, 87.58440136384729, 64.16751870548342, 58.55422124546794, 55.21456128179193, 55.30124692428126, 65.6494123114876, 62.39596686795733, 123.93020474389039, 57.51440803093897, 73.6679917168185, 59.6427190715026, 113.74624182234186]",4694
non_saturating-n_epochs-150-epoch_step-10-lr-0.0001-d_alpha-0.6-g_alpha-1,1,0.8,100,128,False,150,10,0.0001,64,0.9,False,0.6,1.0,True,False,"[0.07193978282329713, 0.10582428430404739, 0.1490745310957552, 0.26384501480750244, 0.20405972359328728, 0.20188795656465944, 0.2448050345508391, 0.29343534057255677, 0.24750740375123395, 0.38076258637709776, 0.22086623889437315, 0.2802443237907206, 0.24322556762092792, 0.24176949654491608, 0.22593780848963474]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150]","[410.4508396907447, 202.74071773036758, 108.41204060777204, 76.3125462425819, 73.01009935818684, 62.03355989037459, 49.54555636100599, 56.3706855664484, 69.2548876616197, 53.66118081319814, 54.553929916818106, 64.31079798612518, 55.4926893005113, 52.44141125842373, 50.53613237400259]",4686
non_saturating-n_epochs-150-epoch_step-10-lr-0.0001-d_alpha-0.5-g_alpha-1,1,0.8,100,128,False,150,10,0.0001,64,0.9,False,0.5,1.0,True,False,"[0.09627344521224086, 0.14070829220138203, 0.3409674234945706, 0.11363524185587365, 0.1231614017769003, 0.2753084896347483, 0.44434846989141163, 0.20628084896347482, 0.2801579466929911, 0.2987907206317868, 0.18261352418558738, 0.1811080947680158, 0.41563425468904247, 0.28120681145113524, 0.5206071076011846]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150]","[775.9824385407122, 397.7764941141502, 274.60334098687827, 124.34223670522624, 82.67146656846421, 102.39283372699492, 94.36557214024901, 56.42798879340637, 54.0655709402771, 58.44147750712432, 52.62861589315662, 71.6059965849804, 50.14220102912407, 50.000291620196094, 78.33391152730587]",4692
non_saturating-n_epochs-150-epoch_step-10-lr-0.0002-d_alpha-1-g_alpha-1,1,0.8,100,128,False,150,10,0.0002,64,0.9,False,1.0,1.0,True,False,"[0.019002961500493583, 0.1219274432379072, 0.09863030602171767, 0.18002221125370188, 0.17924481737413622, 0.21053800592300098, 0.16251233958538994, 0.3656342546890424, 0.07318608094768016, 0.33156465942744323, 0.2464091806515301, 0.12520977295162883, 0.15566386969397827, 0.20813178677196445, 0.25262833168805526]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150]","[685.8327419225593, 185.84519327421208, 109.62319892192772, 93.76924378452452, 72.83434123093912, 58.50067698540988, 62.91732794039115, 62.88350540661486, 61.03127547897145, 72.02646145623987, 65.84290816532507, 65.01713039270544, 59.715644718637805, 74.9629406052477, 65.41717766986108]",4953
non_saturating-n_epochs-150-epoch_step-10-lr-0.0001-d_alpha-0.9-g_alpha-1,2,0.8,100,128,False,150,10,0.0001,64,0.9,False,0.9,1.0,True,False,"[0.10545409674234946, 0.08827739387956565, 0.15301085883514315, 0.10763820335636723, 0.1795903257650543, 0.15146841066140176, 0.13852418558736426, 0.20414610069101677, 0.23257650542941757, 0.10888450148075025, 0.15425715695952616, 0.1943361303060217, 0.2888203356367226, 0.278751233958539, 0.30976061204343536]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150]","[503.01196008678346, 185.4351269410181, 103.17933577592157, 85.53458509863208, 75.8518015706411, 63.89388631714996, 62.02934200683296, 67.11448228647714, 62.522235462212166, 63.31562872476002, 61.74365677350079, 55.340471732474725, 56.44612394805813, 57.75915551133221, 1443.994500951755]",4981
non_saturating-n_epochs-150-epoch_step-10-lr-0.0009-d_alpha-1-g_alpha-1,1,0.8,100,128,False,150,10,0.0009,64,0.9,False,1.0,1.0,True,False,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150]","[1815.0380257374666, 1815.2218411603926, 1815.859048132594, 1815.0626644881543, 1815.0496779325745, 1815.2055800256994, 1814.8256782185265, 1814.952401761496, 1815.5421185778346, 1814.9701882433635, 1814.975681720104, 1815.319808732142, 1815.5534200240988, 1815.3383969634656, 1816.065469101188]",4951
