setting,seed,train_test_split,noise_dim,batch_size,save_images,n_epochs,epoch_step,lr,model_width,beta1,amp,d_alpha,g_alpha,non_saturating,ls_gan,errors,epochs,fid_scores,time
non_saturating-n_epochs-150-epoch_step-10-lr-0.0001-d_alpha-0.8-g_alpha-1,49,0.8,100,64,False,150,10,0.0001,64,0.9,False,0.8,1.0,True,False,"[0.1970940781059457, 0.0979596085779721, 0.4382826209809345, 0.1370571963951102, 0.2081288480414027, 0.1114035870438119, 0.2738020879807263, 0.16033134053121562, 0.3218077986972428, 0.4999702566848101, 0.4999702566848101, 0.4999702566848101, 0.49995538502721515, 0.4999702566848101, 0.49995538502721515]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150]","[1532.7422484669444, 789.1678708410859, 508.84056423751963, 448.37212854345034, 468.02846957025713, 389.1457039140007, 393.03848350786507, 363.80090465810144, 365.423443379869, 1262.4651544019139, 1258.6937216684987, 1260.7426502537144, 1268.2182857315674, 1264.536978824864, 1276.1777205766866]",7855
non_saturating-n_epochs-150-epoch_step-10-lr-0.0004-d_alpha-0.9-g_alpha-1,50,0.8,100,64,False,150,10,0.0004,64,0.9,False,0.9,1.0,True,False,"[0.00016358823354451087, 0.00011897326075964427, 0.00011897326075964427, 0.00011897326075964427, 0.00011897326075964427, 0.00010410160316468874, 0.00011897326075964427, 0.00011897326075964427, 0.00011897326075964427, 0.00010410160316468874, 8.92299455697332e-05, 0.00010410160316468874, 0.00011897326075964427, 0.00011897326075964427, 0.00010410160316468874]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150]","[2331.20923553474, 2331.2054754042592, 2331.1849495170586, 2331.1748240648317, 2331.1905868436975, 2331.227393515648, 2331.2464373136654, 2331.338142016722, 2331.199716762407, 2331.20658359565, 2331.0835464347565, 2331.1347281508715, 2331.1340148301383, 2331.213995401697, 2331.1679683568887]",7903
non_saturating-n_epochs-150-epoch_step-10-lr-0.0003-d_alpha-0.8-g_alpha-1,49,0.8,100,64,False,150,10,0.0003,64,0.9,False,0.8,1.0,True,False,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150]","[2447.8318272112956, 2449.5528327182687, 2449.4564568190353, 2448.3513437778533, 2449.10487098103, 2449.1542458126446, 2448.589084881443, 2448.513739076819, 2447.4186036392875, 2447.908861975199, 2449.2741826428387, 2449.773225833413, 2448.927444696837, 2448.2228562483037, 2448.441286195448]",7812
non_saturating-n_epochs-150-epoch_step-10-lr-0.0002-d_alpha-0.5-g_alpha-1,50,0.8,100,64,False,150,10,0.0002,64,0.9,False,0.5,1.0,True,False,"[0.6715148270426222, 0.2708426281193302, 0.029862288450670713, 0.2004699443800006, 0.28450968144909433, 0.19936944171797388, 0.16428720145147377, 0.2089319175515303, 0.2718390291781922, 0.3420778679991672, 0.32246215163142083, 0.41377412926444784, 0.46289521430058594, 0.4660331340531216, 0.46927515540882186]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150]","[1953.8893663510025, 1453.9554134674765, 1122.7190331827803, 761.8722056907136, 923.8449874492712, 844.3108981879602, 721.0039817089892, 652.9694549493374, 584.77567761247, 605.1197936675449, 522.1647284902383, 576.3506551477408, 488.4378647055564, 495.1447135253661, 454.8546233549837]",7825
non_saturating-n_epochs-150-epoch_step-10-lr-0.0001-d_alpha-0.5-g_alpha-1,51,0.8,100,64,False,150,10,0.0001,64,0.9,False,0.5,1.0,True,False,"[0.08979506855834152, 0.19249873590910443, 0.22499330775408227, 0.28972963326492374, 0.24727105083132567, 0.41190030040748343, 0.2641206388864103, 0.2680170131762886, 0.22108206180660897, 0.19003004074834182, 0.28702299158264183, 0.34246453109663605, 0.18875107819517564, 0.24981410428006307, 0.19867047381101097]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150]","[1816.316734129503, 998.9861384221276, 1395.5089707260506, 1027.7003282886078, 652.0129053431481, 642.2376539567024, 759.0570008517968, 454.8327270120126, 645.0444369039858, 404.7144088086595, 437.2926099403526, 609.9845611463459, 421.6789573021988, 360.693018921668, 370.5822150477836]",7824
non_saturating-n_epochs-150-epoch_step-10-lr-0.0005-d_alpha-0.5-g_alpha-1,47,0.8,100,64,False,150,10,0.0005,64,0.9,False,0.5,1.0,True,False,"[0.13142083816662206, 0.15069450640968443, 0.4160048779036912, 0.31786680943457957, 0.1387228220457452, 0.258186847506023, 0.25747300794146516, 0.1404330626691651, 0.2479551470806936, 0.163543618571726, 0.14748222836917402, 0.47390024092085303, 0.28232354778263585, 0.22897891198953035, 0.28984860652568334]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150]","[1941.2103028467525, 1847.3653648989746, 1461.0217142642575, 1136.4638723928906, 1101.2922334499622, 1203.7503414748503, 1135.7396723977727, 770.1106781917492, 787.4862481410632, 777.2100850422962, 613.7448796391955, 1011.6022911894192, 626.5952577140743, 824.7510330479888, 1224.184825932261]",7966
non_saturating-n_epochs-150-epoch_step-10-lr-0.0005-d_alpha-0.9-g_alpha-1,49,0.8,100,64,False,150,10,0.0005,64,0.9,False,0.9,1.0,True,False,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150]","[2278.425758345507, 2278.6783836292543, 2278.237766953002, 2278.2167220848564, 2278.5736399894454, 2278.452097220874, 2278.4043820432544, 2278.2462443443155, 2278.3510400574346, 2278.3233313073597, 2278.281649357894, 2278.385710766345, 2278.3199834478182, 2278.3262203677764, 2278.5239090527443]",7979
non_saturating-n_epochs-150-epoch_step-10-lr-0.0005-d_alpha-0.5-g_alpha-1,49,0.8,100,64,False,150,10,0.0005,64,0.9,False,0.5,1.0,True,False,"[0.8465988519080336, 0.24890693316677076, 0.5893637904880878, 0.7456202968382856, 0.13882692364890992, 0.18768031884833883, 0.475253561761994, 0.154516522411588, 0.02044852919306386, 0.07081883346717825, 0.1006365069450641, 0.11751583831533863, 0.2530115106629785, 0.6207876029862288, 0.7787246066446566]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150]","[2141.7147426248207, 1516.3037667208032, 1766.0004415505796, 1589.2733159745583, 1184.5821495510468, 903.4386483948417, 1047.2501342972314, 1253.81494785908, 1249.9432190301532, 1347.1241250423059, 1313.5827066588188, 1288.6302004424301, 1135.932383894166, 1431.373520728575, 1078.0190839288628]",7852
non_saturating-n_epochs-150-epoch_step-10-lr-0.0002-d_alpha-0.9-g_alpha-1,50,0.8,100,64,False,150,10,0.0002,64,0.9,False,0.9,1.0,True,False,"[1.4871657594955533e-05, 4.46149727848666e-05, 1.4871657594955533e-05, 2.9743315189911066e-05, 2.9743315189911066e-05, 1.4871657594955533e-05, 1.4871657594955533e-05, 1.4871657594955533e-05, 1.4871657594955533e-05, 1.4871657594955533e-05, 1.4871657594955533e-05, 1.4871657594955533e-05, 2.9743315189911066e-05, 1.4871657594955533e-05, 1.4871657594955533e-05]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150]","[2506.9006706617806, 2507.299560361359, 2507.5058434633675, 2507.017415527427, 2506.6184404396517, 2507.803544900666, 2507.248369851403, 2507.2321314570336, 2506.1853476782535, 2506.952923046164, 2507.4513263425224, 2507.6636772450065, 2508.5856136783814, 2506.957002390302, 2506.894162254177]",7873
non_saturating-n_epochs-150-epoch_step-10-lr-0.0004-d_alpha-0.6-g_alpha-1,47,0.8,100,64,False,150,10,0.0004,64,0.9,False,0.6,1.0,True,False,"[0.3543172421998156, 0.32577853127509593, 0.21815234526040272, 0.30045209839088666, 0.09208530382796466, 0.2225692275661045, 0.17008714791350643, 0.22297076232116833, 0.2323101632908004, 0.36550072871122213, 0.20573451116861485, 0.27865024835668184, 0.5, 0.5, 0.5]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150]","[1763.3759018794856, 1425.6729832088881, 1429.3792641724986, 962.9095129725499, 949.1743671505187, 588.760944116978, 485.25605093473996, 617.1408983806996, 476.66678265438986, 417.75421114005644, 424.24481735121367, 404.9520165462154, 1974.898531467612, 1984.1839685896352, 1993.1078310633811]",8256
