Setting,Seed,FID Score,Epochs,FIDs
-non_saturating-n_epochs-100-epoch_step-10-g_lr-0.0001-g_alpha-1-d_alpha-0.9,13,67.64323230036962,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[255.97935028258098, 112.27373732998944, 76.94555466268889, 59.92839245728874, 65.85710784821777, 79.32005555404896, 87.63674517803724, 91.49459854714678, 77.59820200691513, 67.64323230036962]"
-non_saturating-n_epochs-100-epoch_step-10-g_lr-0.0001-g_alpha-1-d_alpha-0.5,13,50.34236178612207,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[422.28430231701475, 244.3841004972361, 116.67703738910723, 111.47955665344864, 63.15820166027606, 52.87393178815796, 50.75279720064941, 59.440564826431114, 46.562751793955385, 50.34236178612207]"
-non_saturating-n_epochs-100-epoch_step-10-g_lr-0.0001-g_alpha-1-d_alpha-0.8,13,73.54575503389458,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[322.4719037717207, 117.99418397514819, 77.43106468542146, 72.98557368030356, 45.28386050210065, 50.94431646368366, 46.81757460713834, 57.833286002181694, 86.41902800027935, 73.54575503389458]"
-non_saturating-n_epochs-100-epoch_step-10-g_lr-0.0001-g_alpha-1-d_alpha-0.7,13,89.48931009278658,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[274.49445305239306, 129.40196735568486, 82.43908722584092, 66.15503961632362, 47.561012646818995, 71.4170889294071, 91.5491714353243, 295.65611295444637, 91.78638497228167, 89.48931009278658]"
-non_saturating-n_epochs-100-epoch_step-10-g_lr-0.0009-g_alpha-1-d_alpha-0.6,12,44.68377238229846,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[1413.0854118353286, 595.4703452074813, 406.6965130927259, 166.79677319259292, 153.45567958920992, 113.06242534236753, 97.6820870011494, 59.47986062013729, 54.52959831290411, 44.68377238229846]"
-non_saturating-n_epochs-100-epoch_step-10-g_lr-0.0009-g_alpha-1-d_alpha-0.7,12,52.664450702869544,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[1078.62048532657, 341.40216444896, 147.21719150959382, 100.01960232860733, 83.56829816717936, 80.92172022647947, 68.51447022277671, 66.6346463209602, 39.86999844284162, 52.664450702869544]"
-non_saturating-n_epochs-100-epoch_step-10-g_lr-0.0002-g_alpha-1-d_alpha-0.5,13,54.98783732093523,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[490.2992204899224, 224.9927476190253, 174.81241299769863, 88.67303775371602, 69.26552434718519, 66.14699319467036, 67.58093433025306, 53.84673304415219, 53.20999365713874, 54.98783732093523]"
-non_saturating-n_epochs-100-epoch_step-10-g_lr-0.0002-g_alpha-1-d_alpha-0.8,13,88.70648872178776,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[482.08556763140496, 157.93523685351306, 77.16525783505915, 61.52334821608656, 61.96009462920301, 58.30602072508975, 52.06631731569814, 91.18843466466035, 166.88964028700366, 88.70648872178776]"
-non_saturating-n_epochs-100-epoch_step-10-g_lr-0.0009-g_alpha-1-d_alpha-1,12,124.65921786003582,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[706.4085029560849, 178.06745376380604, 134.27485669848738, 71.04807644019479, 53.77349360184212, 47.725670551928715, 48.23327817833649, 57.975322069452545, 129.26034692504345, 124.65921786003582]"
-non_saturating-n_epochs-100-epoch_step-10-g_lr-0.0001-g_alpha-1-d_alpha-0.6,13,54.939815437374364,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[361.3789840827641, 118.46397560700188, 92.35964483065868, 51.85999444522736, 44.91642494192001, 51.77992553205786, 68.10321896540972, 75.27562635488835, 67.27856262491468, 54.939815437374364]"
