Setting,Seed,Modes,High-Quality Samples,KL,Reverse KL,JSD,TVD
alpha-0.2_dlayers-1_glayers-4_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,6,0,0.0,6.781675623100128,2.0763270312195545,0.49567934465894903,0.8747200895713372
alpha-0.2_dlayers-1_glayers-4_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,10,0,0.0,6.781675623100128,2.0763270312195545,0.49567934465894903,0.8747200895713372
alpha-0.5_dlayers-1_glayers-4_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,5,0,0.0,6.781675623100128,2.0763270312195545,0.49567934465894903,0.8747200895713372
alpha-0.2_dlayers-1_glayers-4_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,2,0,0.0,6.781675623100128,2.0763270312195545,0.49567934465894903,0.8747200895713372
alpha-0.2_dlayers-1_glayers-4_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,8,0,0.0,6.781675623100128,2.0763270312195545,0.49567934465894903,0.8747200895713372
alpha-0.2_dlayers-1_glayers-4_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,7,0,0.0,6.781675623100128,2.0763270312195545,0.49567934465894903,0.8747200895713372
alpha-0.2_dlayers-1_glayers-4_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,4,0,0.0,6.781675623100128,2.0763270312195545,0.49567934465894903,0.8747200895713372
alpha-0.2_dlayers-1_glayers-4_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,1,0,0.0,6.781675623100128,2.0763270312195545,0.49567934465894903,0.8747200895713372
alpha-0.2_dlayers-1_glayers-4_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,5,0,0.0,6.781675623100128,2.0763270312195545,0.49567934465894903,0.8747200895713372
alpha-0.5_dlayers-1_glayers-4_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,7,0,0.0,6.781675623100128,2.0763270312195545,0.49567934465894903,0.8747200895713372
alpha-0.5_dlayers-1_glayers-4_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,4,0,0.0,6.781675623100128,2.0763270312195545,0.49567934465894903,0.8747200895713372
alpha-0.5_dlayers-1_glayers-4_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,3,1,0.0006,6.781675623100128,2.0763270312195545,0.49567934465894903,0.8747200895713372
alpha-0.5_dlayers-1_glayers-3_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,10,0,0.0,6.781675623100128,2.0763270312195545,0.49567934465894903,0.8747200895713372
alpha-0.2_dlayers-1_glayers-4_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,3,0,0.0,6.781675623100128,2.0763270312195545,0.49567934465894903,0.8747200895713372
alpha-0.5_dlayers-1_glayers-4_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,1,1,0.5564,6.781675623100128,2.0763270312195545,0.49567934465894903,0.8747200895713372
alpha-0.2_dlayers-2_glayers-1_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,3,8,0.8528,0.17116405561670792,0.10362417825351784,0.03030895364173624,0.1393953934740883
