setting,seed,train_test_split,noise_dim,batch_size,save_images,n_epochs,epoch_step,lr,model_width,beta1,amp,d_alpha,g_alpha,non_saturating,ls_gan,errors,epochs,fid_scores,time
non_saturating-n_epochs-100-epoch_step-10-lr-0.0001-g_alpha-1-d_alpha-1,14,0.8,100,64,False,100,10,0.0001,64,0.9,False,1.0,1.0,True,False,"[0.053597453972219745, 0.1305731536837096, 0.15203295559323043, 0.3535736593200678, 0.12944290770649297, 0.30855715178013743, 0.21235239879837006, 0.3008833764611404, 0.3058505100978555, 0.277921537134529]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[1394.311092795981, 636.9932324982285, 515.104027721696, 447.2455557287931, 396.5250779578955, 392.95180328205515, 408.6288665201805, 372.61369655072144, 354.037269584094, 355.7889411859144]",4867
non_saturating-n_epochs-100-epoch_step-10-lr-0.01-g_alpha-1-d_alpha-1,14,0.8,100,64,False,100,10,0.01,64,0.9,False,1.0,1.0,True,False,"[0.343817851937777, 0.14073049582106423, 0.2701287885547723, 0.3881205199131495, 0.03952886588739181, 0.0016507539930400643, 0.49985128342405044, 0.01940751316141697, 0.5012343475803813, 0.5012343475803813]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[1546.4489172321391, 1295.7491829023957, 1963.3666344391681, 2391.170492838642, 1854.4350427462737, 2034.0255244779314, 2012.2670875946392, 1946.7017868349599, 1995.497816386342, 2046.286950037684]",4835
non_saturating-n_epochs-100-epoch_step-10-lr-0.0001-g_alpha-1-d_alpha-1,17,0.8,100,64,False,100,10,0.0001,64,0.9,False,1.0,1.0,True,False,"[0.050697480741203414, 0.09697807917670503, 0.10175188126468576, 0.13210493441599, 0.42543350881889297, 0.21360161803634634, 0.24697361767942655, 0.11347074744951072, 0.27759436066744, 0.2733113232800928]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[1241.5383033499659, 609.3356669095162, 504.42224348366744, 403.50331099944924, 393.14281304461997, 366.13378017283003, 345.3057755429177, 361.5146074059803, 369.5954496000313, 304.5824146082409]",4752
non_saturating-n_epochs-100-epoch_step-10-lr-0.01-g_alpha-1-d_alpha-1,9,0.8,100,64,False,100,10,0.01,64,0.9,False,1.0,1.0,True,False,"[0.5379375985247316, 0.579935159572886, 0.5791023467475684, 0.5743136730019928, 0.5736444484102198, 0.5661491329823622, 0.5692424377621129, 0.5609291811665328, 0.5661491329823622, 0.5650040153475506]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[2024.238955498996, 2253.8597167696967, 2328.7209673832303, 2297.503739860478, 2291.202713245301, 2276.218944861285, 2249.6901468080696, 2259.2128863627013, 2279.4036901490863, 2279.9626526252655]",4883
non_saturating-n_epochs-100-epoch_step-10-lr-0.0001-g_alpha-1-d_alpha-1,8,0.8,100,64,False,100,10,0.0001,64,0.9,False,1.0,1.0,True,False,"[0.22075488533951995, 0.11189435174444544, 0.19119003004074833, 0.283602510335802, 0.18637161297998275, 0.28162457987567296, 0.22891942535915052, 0.325763659617501, 0.2773266708307308, 0.17627375747300794]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[1718.3478113459305, 793.65797948261, 575.4159086862137, 484.6815517976472, 427.8852060346899, 428.4016788323436, 432.9777657177119, 424.63706603368405, 374.7210097484053, 373.63869120700724]",4713
non_saturating-n_epochs-100-epoch_step-10-lr-0.0005-g_alpha-1-d_alpha-1,13,0.8,100,64,False,100,10,0.0005,64,0.9,False,1.0,1.0,True,False,"[0.4904970107968234, 0.1557508699919693, 0.17236251152553464, 0.16901638856666965, 0.25982272984146815, 0.3156211891377413, 0.33416614615865087, 0.32446982540673985, 0.375598584218197, 0.25827607745159276]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[2028.608691135043, 962.1888639022436, 666.4982809910025, 579.6302489458712, 525.9047117646621, 542.3141557658034, 480.6237886193619, 449.582241368176, 448.26473538076925, 386.3317554818923]",4860
non_saturating-n_epochs-100-epoch_step-10-lr-0.0005-g_alpha-1-d_alpha-1,20,0.8,100,64,False,100,10,0.0005,64,0.9,False,1.0,1.0,True,False,"[0.4375539097587817, 0.10057702031468427, 0.2531453555813331, 0.33705124773207223, 0.4263555515897802, 0.46021831593349394, 0.25711608815918624, 0.46994438000059485, 0.37516730614794325, 0.3645191993099551]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[2000.8608443035557, 1211.9932780076235, 803.6461548513173, 555.0550397656395, 551.6177488279211, 408.2991659181753, 370.9063544449607, 403.60564584756435, 367.13410922342723, 337.69359584214203]",4776
non_saturating-n_epochs-100-epoch_step-10-lr-0.0001-g_alpha-1-d_alpha-1,20,0.8,100,64,False,100,10,0.0001,64,0.9,False,1.0,1.0,True,False,"[0.4240504446625621, 0.13769667767169327, 0.06766604205704768, 0.23128401891674846, 0.1608369768894441, 0.19020850063948128, 0.15912673626602422, 0.4840575830582077, 0.3582879747776687, 0.20851551113887154]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[1566.664216132185, 658.720226819594, 551.5376334346915, 459.5809891697677, 440.80285417206164, 395.9734174401549, 360.7630334060964, 404.2163455693508, 343.8376939107711, 350.5318920773734]",4783
non_saturating-n_epochs-100-epoch_step-10-lr-0.0005-g_alpha-1-d_alpha-1,16,0.8,100,64,False,100,10,0.0005,64,0.9,False,1.0,1.0,True,False,"[0.3223283067130662, 0.30382796466494155, 0.34744653639094614, 0.4012075785967104, 0.35819874483209896, 0.17025073614705094, 0.3523393117396865, 0.4192617709169864, 0.3037089914041819, 0.3852502899973231]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[1603.9724170562, 788.7743009975061, 627.8843224317245, 521.7404206220622, 509.52326040120033, 456.7068017314484, 466.3916707621895, 394.00983247952945, 414.9219832806068, 385.27712779548574]",4786
non_saturating-n_epochs-100-epoch_step-10-lr-0.005-g_alpha-1-d_alpha-1,6,0.8,100,64,False,100,10,0.005,64,0.9,False,1.0,1.0,True,False,"[0.4923410963385979, 0.13945153326789805, 0.24108444127182416, 0.23080812587370989, 0.3027869486332947, 0.1644507896850183, 0.2497694893072782, 0.3648166324618542, 0.2831117456351685, 0.3497665149757592]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[1911.4341878736195, 1337.6607462216775, 1123.0610363504559, 915.0017030007241, 716.3157889977776, 738.1967154247327, 586.1059066557784, 1056.9253208601324, 1289.6401183798052, 947.2548947848995]",4914
